Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_center,data,16373.0,209.535,0.45731307061139626,0.997,0.0004,0.9784,0.0026,0.9981,0.0001,0.9981,0.0001,0.997159,0.0004,0.96755,0.0026,0.9881,0.0005,0.9798316,0.06071428571428572,NA,NA,190.19822578488322,11.815553370196193
Q3p85_W2p62_t0p21_loweps_center,data,16374.0,215.469,0.46818730580021173,0.9963,0.0004,0.9802,0.0025,0.9981,0.0001,0.9981,0.0001,0.997084,0.0004,0.969,0.0025,0.9857,0.0007,0.97883732,0.06071428571428572,NA,NA,195.41078794662968,12.150200290668655
Q3p85_W2p62_t0p21_loweps_center,data,16375.0,234.09,0.5077852817658798,0.9966,0.0003,0.9783,0.0025,0.9981,0.0001,0.9981,0.0001,0.997108,0.0003,0.968397,0.0025,0.9868,0.0006,0.9784176,0.06071428571428572,NA,NA,211.96928864378452,13.18495715862247
Q3p85_W2p62_t0p21_loweps_center,data,16376.0,249.783,0.5447993090238789,0.9962,0.0003,0.9821,0.0022,0.9981,0.0001,0.9981,0.0001,0.997123,0.0003,0.968754,0.0022,0.9876,0.0005,0.97969328,0.06071428571428572,NA,NA,227.53420346068432,14.12914426205325
Q3p85_W2p62_t0p21_loweps_center,data,16377.0,241.704,0.5259501044156937,0.9961,0.0003,0.9782,0.0025,0.9981,0.0001,0.9981,0.0001,0.997138,0.0003,0.969673,0.0025,0.9872,0.0006,0.97917612,0.06071428571428572,NA,NA,219.28507705949804,13.629522877399813
Q3p85_W2p62_t0p21_loweps_center,data,16378.0,219.02,0.4752092992421051,0.9963,0.0003,0.9806,0.0024,0.9981,0.0001,0.9981,0.0001,0.997093,0.0003,0.967722,0.0024,0.9868,0.0006,0.97847808,0.06071428571428572,NA,NA,198.60054159003886,12.350952368666036
Q3p85_W2p62_t0p21_loweps_center,data,16379.0,273.726,0.5941932245346925,0.9963,0.0003,0.9766,0.0024,0.9981,0.0001,0.9981,0.0001,0.997034,0.0003,0.96756,0.0024,0.9863,0.0006,0.97859932,0.06071428571428572,NA,NA,247.04315757210676,15.361811678165234
Q3p85_W2p62_t0p21_loweps_center,data,16380.0,229.341,0.4990336766028587,0.9961,0.0003,0.979,0.0025,0.9981,0.0001,0.9981,0.0001,0.997103,0.0003,0.968501,0.0025,0.9877,0.0005,0.9791694,0.06071428571428572,NA,NA,208.0838755507798,12.933227004182651
Q3p85_W2p62_t0p21_loweps_center,data,16381.0,207.732,0.45188235742178934,0.9963,0.0003,0.9792,0.0026,0.9981,0.0001,0.9981,0.0001,0.997106,0.0003,0.967482,0.0026,0.9884,0.0005,0.9791022,0.06071428571428572,NA,NA,188.47685882540026,11.717019237758585
Q3p85_W2p62_t0p21_loweps_center,data,16387.0,257.781,0.5605336155661946,0.9965,0.0003,0.9812,0.0022,0.9981,0.0001,0.9981,0.0001,0.997088,0.0003,0.96913,0.0022,0.9871,0.0006,0.97901036,0.06071428571428572,NA,NA,234.47569105075755,14.570473189231976
Q3p85_W2p62_t0p21_loweps_center,data,16388.0,246.991,0.5369046397061427,0.9973,0.0003,0.9806,0.0023,0.9981,0.0001,0.9981,0.0001,0.997103,0.0003,0.969279,0.0023,0.9866,0.0006,0.9789370000000001,0.06071428571428572,NA,NA,224.61131409367516,13.960250652582005
Q3p85_W2p62_t0p21_loweps_center,data,16389.0,248.294,0.5396443450419731,0.9964,0.0003,0.9755,0.0025,0.9981,0.0001,0.9981,0.0001,0.997138,0.0003,0.968175,0.0025,0.9873,0.0006,0.97889612,0.06071428571428572,NA,NA,224.32114043949545,13.946586968355788
Q3p85_W2p62_t0p21_loweps_center,data,16390.0,272.821,0.591717834713638,0.9971,0.0003,0.9782,0.0023,0.9981,0.0001,0.9981,0.0001,0.99701,0.0003,0.969081,0.0023,0.9877,0.0006,0.97838204,0.06071428571428572,NA,NA,247.5058116866068,15.39191382150595
Q3p85_W2p62_t0p21_loweps_center,data,16392.0,250.587,0.543368353865335,0.9969,0.0004,0.9813,0.0022,0.9981,0.0001,0.9981,0.0001,0.997103,0.0004,0.967915,0.0022,0.9862,0.0006,0.9783224,0.06071428571428572,NA,NA,227.39676479926894,14.14071310567414
Q3p85_W2p62_t0p21_loweps_center,data,16393.0,244.241,0.5329657246262904,0.9967,0.0004,0.9796,0.0023,0.9981,0.0001,0.9981,0.0001,0.996856,0.0004,0.968933,0.0023,0.9879,0.0005,0.97979464,0.06071428571428572,NA,NA,222.10285166021964,13.792451751632948
Q3p85_W2p62_t0p21_loweps_center,dummy,16370.0,115.216,0.2811742779650722,0.997,0.0004,0.9935,0.0009,0.9981,0.0001,0.9981,0.0001,0.99723,0.0004,0.982889,0.0009,0.9988,0.0002,NA,NA,3.527,0.227,111.30182307161107,0.15920139640400777
Q3p85_W2p62_t0p21_loweps_center,dummy,16371.0,105.031,0.25634474995762946,0.9965,0.0005,0.9921,0.001,0.9981,0.0001,0.9981,0.0001,0.997186,0.0005,0.987961,0.001,0.9985,0.0002,NA,NA,3.527,0.227,101.75655775012592,0.16438931789260255
Q3p85_W2p62_t0p21_loweps_center,dummy,16372.0,24.275,0.05881865255670548,0.9967,0.0009,0.9918,0.0021,0.9981,0.0001,0.9981,0.0001,0.997256,0.0009,0.981231,0.0021,0.9984,0.0005,NA,NA,3.527,0.227,23.354921002822117,0.0773710769258251


Variable,Value
Total Effective Charge,3267.015590163829
Total Effective Charge Error,53.6725824532485
Total Charge,833.82971553522
Total Charge Error,53.6725824532485
